date,time,devname,srcip,dstip,srcport,dstport,protocol,action,duration,bytes_sent,bytes_received,service,logid,policyid,type,subtype,level,msg
2025-08-05,13:57:44,FG60D-FW01,192.168.1.246,198.51.100.23,55922,21,17,deny,35,1715,6165,SMB,2244017078,2,utm,anomaly,alert,Suspicious traffic blocked
2025-08-05,14:03:14,FG60D-FW01,192.168.1.244,185.199.110.153,18653,53,17,accept,51,1262,8415,HTTP,5113901305,0,traffic,forward,notice,HTTP session allowed
2025-08-05,15:03:15,FG60D-FW01,192.168.1.175,185.199.110.153,19202,53,6,accept,34,3515,6289,HTTP,3290556461,5,traffic,forward,notice,HTTP session allowed
2025-08-05,13:56:30,FG60D-FW01,192.168.1.137,104.16.249.249,22122,22,6,accept,19,1491,3698,HTTPS,6448626424,3,traffic,forward,notice,HTTPS connection established
2025-08-05,13:47:20,FG60D-FW01,192.168.1.207,8.8.8.8,20897,22,17,accept,19,4993,5077,dns,2457883148,0,traffic,forward,notice,DNS query allowed
2025-08-05,15:14:17,FG60D-FW01,192.168.1.174,8.8.8.8,5885,53,6,accept,53,4468,6868,dns,5503537106,3,traffic,forward,notice,DNS query allowed
2025-08-05,15:08:24,FG60D-FW01,192.168.1.50,8.8.8.8,24064,443,6,accept,44,2364,611,dns,1975983999,4,traffic,forward,notice,DNS query allowed
2025-08-05,15:08:59,FG60D-FW01,192.168.1.54,8.8.8.8,60178,3389,17,accept,6,1644,2988,dns,1045391044,0,traffic,forward,notice,DNS query allowed
2025-08-05,14:53:26,FG60D-FW01,192.168.1.106,185.199.110.153,47789,80,6,accept,49,4513,3452,HTTP,2732184747,3,traffic,forward,notice,HTTP session allowed
2025-08-05,15:08:23,FG60D-FW01,192.168.1.134,45.33.32.156,42212,53,17,deny,8,4949,3430,SMB,5541703951,4,utm,webfilter,warning,Access to restricted site blocked
2025-08-05,14:52:49,FG60D-FW01,192.168.1.118,198.51.100.23,57449,21,17,deny,28,3568,3203,SMB,3066420483,3,utm,anomaly,alert,Suspicious traffic blocked
2025-08-05,15:31:33,FG60D-FW01,192.168.1.245,104.16.249.249,34706,53,17,accept,13,211,8368,HTTPS,2321896377,0,traffic,forward,notice,HTTPS connection established
2025-08-05,13:59:53,FG60D-FW01,192.168.1.160,104.16.249.249,46553,22,17,accept,50,2357,2401,HTTPS,2288498670,3,traffic,forward,notice,HTTPS connection established
2025-08-05,14:56:56,FG60D-FW01,192.168.1.205,10.0.0.255,44152,445,6,accept,48,100,4751,DHCP,4984721656,2,traffic,forward,notice,DHCP request processed
2025-08-05,15:25:38,FG60D-FW01,192.168.1.228,10.0.0.255,64937,80,17,accept,35,2042,7700,DHCP,6202775425,4,traffic,forward,notice,DHCP request processed
